electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,status
"1101002018B00350","717a61eb-185d-407e-883e-1032999f0d61","北京市","北京市","门头沟区","北京市顺义区牛栏山镇SY00-0017-6001等地块B1商业用地 R2二类居住用地 F1住宅混合公建用地",0.000000,0.000000,40.033588,116.622912,0
"1101002014B00457","51734ef7-b448-41e6-9db4-8d9edf972845","北京市","北京市","西城区","北京市昌平区沙河镇七里渠南北村QLQ-007公建混合住宅用地 QLQ-009 QLQ-037住宅混合公建用地",0.000000,0.000000,40.101164,116.319768,0
"1101002013B01201","35bfc857-aebf-4be9-bdac-5337a2e146a5","北京市","北京市","石景山区","北京市门头沟区门头沟新城MC10-033 MC10-035-1 MC10-035-2 MC10-036 MC10-055 MC10-056地块",0.000000,0.000000,39.942600,116.100480,0
"1101002014B02246","dc11b9cc-e022-4b33-9261-a47524d294ac","北京市","北京市","西城区","北京市房山区良乡高教园区17-02-03 17-02-06地块（高教园区10号地北侧）F1住宅混合公建用地（配建限价商品住房）",0.000000,0.000000,39.759684,115.960208,0
"1101002012B20886","405145d3-a161-4ae4-aeb2-ac8199273923","北京市","北京市","丰台区","大兴区北臧村镇生物医药基地东配套区5号地二类居住 小学用地项目（配建公共租赁住房）",0.000000,0.000000,39.686192,116.316288,0
"1101002012B17727","eaec206d-42aa-45ea-afcc-4c95c306d325","北京市","北京市","东城区","北京市大兴区庞各庄镇镇区改造3号地PGZ02-16  19 25  27地块二类居住用地 托幼用地 商业金融用地项目",0.000000,0.000000,39.634000,116.317232,0
"1101002016B00129","c5582a4e-46f4-4b91-a670-f8eed99b1840","北京市","北京市","东城区","北京市顺义区仁和镇05-02-15-1地块R2二类居住用地 05-02-17地块A33基础教育用地限价商品住房项目",0.000000,0.000000,40.103020,116.659624,0
"1101002016B01368","d7fde468-a434-48b1-afa5-2e8d800dac78","北京市","北京市","朝阳区","北京市海淀区“海淀北部地区整体开发”永丰产业基地（新）HD00-0401-0093 0097 0099 0108地块二类居住及零售商业用地",0.000000,0.000000,39.958079,116.292384,0
"1101002014B00419","d0742998-e930-4554-ac68-e4ef170fe509","北京市","北京市","海淀区","北京市房山区拱辰街道办事处及长阳镇09-04-21地块C2商业金融用地（高教园区2号东侧地块）",0.000000,0.000000,39.729900,116.137288,0
"1101002013B02467","720bad01-3e93-406c-ad13-3c37eb77ab0f","北京市","北京市","大兴区","北京市昌平区沙河镇（沙河高教园区二期（一）地块）R2二类居住用地项目（配建公共租赁住房）",0.000000,0.000000,40.164536,116.261872,0
"1101002014B02183","86e1c4f8-36d6-4909-b5c1-8362ac741c98","北京市","北京市","丰台区","北京市顺义新城第21街区21-18-001a 21-18-001c地块R2二类居住用地 C9其他公共设施用地",0.000000,0.000000,39.908456,116.519656,0
"1101002013B04079","0fbb9084-1976-46b3-8036-380a0d6cdf16","北京市","北京市","石景山区","大兴区孙村组团居住区B-19 B-20地块R2二类居住用地 F3其它类多功能用地项目（配建限价商品住房）",0.000000,0.000000,39.706376,116.395960,0
"1101002015B00017","575bc328-cbe4-420a-a65e-c1f8928b4af9","北京市","北京市","朝阳区","北京市昌平区北七家镇（未来科技城南区）CP07-0600-0014 0030地块F2公建混合住宅用地项目（配建“人才公共租赁住房”）",0.000000,0.000000,40.116820,116.417264,0
"1101002015B02489","849a9929-1510-4568-ad57-50713da53361","北京市","北京市","朝阳区","昌平区沙河镇巩华城区及北区土地一级开发项目0405-026 0405-027 0405-033 0405-034 0405-042地块",0.000000,0.000000,40.132432,116.275104,0
